,0,1
0,0.06714657,-0.0020234287
1,0.07202713,-0.00717929
2,0.08273445,-0.005686879
3,0.099646896,-0.006736681
4,0.11853494,-0.008119211
5,0.13802938,-0.0097505
6,0.15798096,-0.011299729
7,0.17758235,-0.012769818
8,0.19607307,-0.013677835
9,0.21366295,-0.014352769
10,0.23049143,-0.014716759
11,0.24625722,-0.015137956
12,0.26076666,-0.0153390765
13,0.2737522,-0.015506998
14,0.28520203,-0.01568082
15,0.29502904,-0.01582697
16,0.30295146,-0.015939608
17,0.3089716,-0.016121417
18,0.3130144,-0.01644352
19,0.31503832,-0.016884074
20,0.31512862,-0.01730971
21,0.31346235,-0.017882168
22,0.3095131,-0.018537387
23,0.30391812,-0.019280896
24,0.29685065,-0.019904613
25,0.28799284,-0.02055128
26,0.27813983,-0.021139175
27,0.26764625,-0.021496207
28,0.25654587,-0.021795526
29,0.24537031,-0.021766588
30,0.23483005,-0.021592066
31,0.22555569,-0.02116701
32,0.21810839,-0.020572022
33,0.21330051,-0.019769564
34,0.21166606,-0.018958181
35,0.21328975,-0.018143445
36,0.21850237,-0.017353028
37,0.22701219,-0.01674734
38,0.2380801,-0.016306475
39,0.25145048,-0.015782073
40,0.26631862,-0.015371278
41,0.28224948,-0.014938369
42,0.29870245,-0.014421374
43,0.31481612,-0.013852105
44,0.33058286,-0.013143435
45,0.345285,-0.012326956
46,0.35893634,-0.011573255
47,0.37098673,-0.010739058
48,0.38130242,-0.010074019
49,0.38980058,-0.009484008
50,0.39602953,-0.009214029
51,0.40024966,-0.009140328
52,0.40193564,-0.009438932
53,0.40152165,-0.009850696
54,0.39835078,-0.010716319
55,0.39279595,-0.011851862
56,0.3850611,-0.013076395
57,0.3752213,-0.014621735
58,0.3634084,-0.01613158
59,0.3494125,-0.017625034
60,0.33422205,-0.019116104
61,0.31736314,-0.020332426
62,0.29935634,-0.02137588
63,0.28070664,-0.022040829
64,0.2619937,-0.022537827
65,0.24361534,-0.02253355
66,0.22604512,-0.022197872
67,0.21010727,-0.02142635
68,0.19674072,-0.020585135
69,0.18671687,-0.019328266
70,0.18069045,-0.018035859
71,0.17917581,-0.016801253
72,0.18253061,-0.016041085
73,0.18958144,-0.015474483
74,0.1998569,-0.015107706
75,0.21211022,-0.0150692165
76,0.22584601,-0.014953494
77,0.23993447,-0.0150027275
78,0.2541272,-0.015127033
79,0.26785213,-0.015111715
80,0.2805339,-0.015161842
81,0.29218018,-0.01515612
82,0.30232444,-0.0152006
83,0.31102294,-0.015215114
84,0.31810522,-0.01527974
85,0.32321775,-0.015501231
86,0.32666603,-0.01567617
87,0.3287308,-0.016052231
88,0.3287725,-0.01651603
89,0.3274502,-0.016996592
90,0.32463354,-0.017518327
91,0.32081935,-0.017979652
92,0.31609046,-0.018563569
93,0.3105316,-0.018940017
94,0.30467907,-0.019337744
95,0.29851866,-0.019704387
96,0.29285508,-0.019816637
97,0.28772554,-0.019775212
98,0.2834593,-0.019683406
99,0.28020775,-0.01951778
100,0.2784068,-0.019280687
101,0.27840576,-0.018883467
102,0.27974448,-0.018510893
103,0.28265566,-0.018018126
104,0.28711218,-0.01762636
105,0.29294455,-0.017101362
106,0.29976976,-0.01659295
107,0.30733982,-0.016113415
108,0.31548527,-0.015647009
109,0.32410377,-0.015044197
110,0.33261573,-0.014566004
111,0.34087306,-0.014071882
112,0.34886393,-0.013462305
113,0.35651213,-0.012845367
114,0.36333603,-0.012307271
115,0.36961597,-0.011812329
116,0.37502265,-0.011412263
117,0.3796093,-0.01105608
118,0.38324744,-0.0107525885
119,0.38623738,-0.010546312
120,0.3881451,-0.010377303
121,0.38965574,-0.010243744
122,0.39029956,-0.010305271
123,0.3903802,-0.010367259
124,0.38996822,-0.0104819685
125,0.38882554,-0.010687545
126,0.38740873,-0.010763019
127,0.3856787,-0.011060238
128,0.38367474,-0.011270314
129,0.38131192,-0.01161468
130,0.37892193,-0.011898577
131,0.37602514,-0.012178421
132,0.37305784,-0.012490675
133,0.3696903,-0.012942016
134,0.3659563,-0.013353378
135,0.3619624,-0.013881803
136,0.357377,-0.014452368
137,0.3522966,-0.01489532
138,0.34638858,-0.015564993
139,0.33997375,-0.016211823
140,0.3325495,-0.016909823
141,0.32490444,-0.017636195
142,0.3159302,-0.018369988
143,0.3062325,-0.018994778
144,0.29578537,-0.01958637
145,0.28444302,-0.020292684
146,0.27263713,-0.02070947
147,0.2599947,-0.021010399
148,0.24735416,-0.021103129
149,0.23441339,-0.021165237
150,0.22172676,-0.020943806
151,0.20973402,-0.020693824
152,0.19892776,-0.020056948
153,0.1899161,-0.019371942
154,0.18285704,-0.018387437
155,0.17896459,-0.017435297
156,0.17859598,-0.016606674
157,0.18185115,-0.015998706
158,0.18862107,-0.015535504
159,0.19832174,-0.015255839
160,0.21045144,-0.014882848
161,0.22461419,-0.014769629
162,0.2400148,-0.0146032125
163,0.25646624,-0.014397413
164,0.2732918,-0.014213264
